date,time,lat,lng,alert
20-07-2021,17:49:19,21.14402,79.078,PCW
20-07-2021,17:50:55,21.14402,79.078,PCW
20-07-2021,17:51:18,21.14402,79.078,PCW
20-07-2021,17:56:44,21.14402,79.078,PCW
20-07-2021,17:57:31,21.14402,79.078,PCW
20-07-2021,17:59:57,21.14402,79.078,PCW
20-07-2021,18:00:24,21.14402,79.078,PCW
20-07-2021,18:15:05,21.15416,79.0851,PCW
20-07-2021,18:49:25,21.14942,79.16153,PCW
20-07-2021,18:54:02,21.14942,79.16153,PCW
20-07-2021,07:38:59,21.11981,79.03152,LDW
20-07-2021,07:44:39,21.1083,79.01869,PCW
20-07-2021,07:45:15,21.10674,79.01786,PCW
20-07-2021,07:45:15,21.10674,79.01786,FCW
20-07-2021,07:46:25,21.102,79.01705,PCW
20-07-2021,07:46:45,21.10144,79.01685,PCW
20-07-2021,08:22:38,21.10846,79.0204,PCW
20-07-2021,08:24:03,21.11109,79.02385,PCW
20-07-2021,08:36:02,21.13446,79.06112,FCW
20-07-2021,08:44:06,21.14126,79.08031,PCW
20-07-2021,09:24:28,21.12361,79.05789,HMW
20-07-2021,09:33:20,21.11543,79.03082,PCW
20-07-2021,09:35:37,21.11125,79.02429,PCW
20-07-2021,09:35:48,21.11084,79.0235,PCW
20-07-2021,09:35:51,21.11084,79.0235,PCW
20-07-2021,09:35:57,21.11084,79.0235,PCW
20-07-2021,09:36:15,21.10987,79.02315,PCW
20-07-2021,09:37:59,21.10562,79.01756,FCW
20-07-2021,09:38:07,21.10562,79.01756,PCW
20-07-2021,09:38:30,21.10344,79.01698,PCW
20-07-2021,09:39:40,21.10166,79.01561,PCW
20-07-2021,10:12:16,21.10123,79.01683,PCW
20-07-2021,10:13:16,21.1042,79.01721,PCW
20-07-2021,10:13:24,21.1054,79.01751,HB
20-07-2021,10:13:51,21.10609,79.0177,HMW
20-07-2021,10:19:19,21.11229,79.0271,FCW
20-07-2021,10:23:13,21.11772,79.03428,PCW
20-07-2021,10:23:51,21.11701,79.03601,LDW
20-07-2021,10:25:09,21.11346,79.04514,FCW
20-07-2021,10:27:00,21.11988,79.04762,FCW
20-07-2021,10:27:56,21.12156,79.05045,HMW
20-07-2021,10:31:50,21.12572,79.06151,HMW
20-07-2021,10:32:06,21.12612,79.06338,PCW
20-07-2021,10:32:50,21.12799,79.06334,FCW
20-07-2021,10:32:55,21.12799,79.06334,FCW
20-07-2021,10:34:19,21.13326,79.06155,HMW
20-07-2021,10:38:27,21.13891,79.06556,FCW
20-07-2021,10:41:20,21.14579,79.07144,PCW
20-07-2021,10:45:39,21.14176,79.0804,PCW
20-07-2021,11:02:03,21.14213,79.08013,PCW
20-07-2021,11:05:02,21.14593,79.06994,HMW
20-07-2021,11:05:42,21.14517,79.06785,PCW
20-07-2021,11:08:47,21.13542,79.06079,HMW
20-07-2021,11:14:55,21.12326,79.05767,HMW
20-07-2021,11:23:31,21.1156,79.03894,HMW
20-07-2021,11:24:09,21.11728,79.0353,HMW
